iter	Passed	Remaining
0	172	172226
1	174	86868
2	176	58763
3	179	44643
4	185	36958
5	188	31230
6	191	27219
7	195	24264
8	199	21996
9	202	20083
10	205	18474
11	207	17114
12	211	16071
13	214	15112
14	216	14215
15	219	13486
16	221	12827
17	225	12287
18	227	11737
19	229	11251
20	231	10793
21	233	10365
22	234	9965
23	236	9618
24	239	9323
25	240	9026
26	242	8733
27	243	8461
28	245	8222
29	246	7972
30	247	7748
31	249	7533
32	250	7332
33	251	7147
34	253	6985
35	254	6815
36	255	6658
37	257	6511
38	258	6369
39	259	6229
40	260	6097
41	261	5967
42	262	5844
43	263	5726
44	264	5614
45	265	5508
46	266	5407
47	268	5323
48	270	5246
49	271	5165
50	273	5093
51	275	5016
52	276	4937
53	277	4860
54	278	4788
55	280	4722
56	283	4690
57	284	4620
58	285	4555
59	286	4490
60	287	4427
61	288	4364
62	289	4307
63	290	4251
64	291	4193
65	292	4142
66	293	4088
67	294	4038
68	295	3990
69	297	3953
70	299	3918
71	300	3874
72	301	3831
73	303	3793
74	304	3752
75	305	3715
76	307	3685
77	308	3649
78	310	3616
79	311	3583
80	313	3553
81	314	3523
82	315	3484
83	316	3450
84	317	3417
85	318	3384
86	319	3353
87	320	3319
88	321	3288
89	322	3257
90	323	3228
91	324	3197
92	325	3170
93	326	3144
94	328	3130
95	329	3104
96	330	3077
97	331	3050
98	332	3025
99	333	3001
100	334	2977
101	335	2952
102	336	2928
103	337	2904
104	338	2881
105	339	2859
106	340	2837
107	341	2819
108	343	2807
109	344	2790
110	346	2771
111	347	2751
112	348	2732
113	349	2713
114	350	2697
115	351	2679
116	352	2659
117	353	2640
118	354	2621
119	354	2602
120	355	2585
121	356	2566
122	358	2552
123	359	2538
124	360	2523
125	361	2510
126	362	2493
127	363	2479
128	365	2464
129	365	2448
130	366	2433
131	367	2417
132	368	2402
133	369	2387
134	370	2372
135	371	2359
136	372	2344
137	374	2338
138	375	2326
139	376	2314
140	377	2302
141	378	2287
142	379	2275
143	380	2262
144	381	2250
145	382	2237
146	383	2225
147	384	2212
148	385	2200
149	386	2189
150	387	2179
151	389	2170
152	391	2164
153	392	2156
154	393	2146
155	394	2135
156	395	2125
157	396	2113
158	397	2102
159	398	2091
160	399	2079
161	400	2069
162	400	2058
163	401	2048
164	403	2041
165	405	2038
166	407	2032
167	408	2023
168	409	2013
169	410	2004
170	411	1994
171	412	1984
172	413	1975
173	414	1966
174	415	1957
175	416	1948
176	417	1939
177	418	1931
178	419	1922
179	421	1918
180	422	1912
181	423	1904
182	424	1897
183	426	1890
184	427	1884
185	429	1879
186	430	1871
187	431	1863
188	432	1855
189	433	1847
190	435	1843
191	436	1836
192	438	1832
193	439	1826
194	440	1819
195	441	1810
196	442	1803
197	443	1795
198	444	1788
199	445	1781
200	446	1774
201	447	1767
202	448	1759
203	449	1752
204	450	1748
205	452	1744
206	453	1737
207	454	1731
208	455	1725
209	456	1719
210	457	1712
211	458	1705
212	459	1698
213	460	1691
214	461	1685
215	462	1679
216	464	1674
217	466	1672
218	467	1667
219	468	1661
220	469	1655
221	471	1650
222	472	1644
223	473	1639
224	474	1633
225	475	1627
226	476	1621
227	478	1618
228	479	1614
229	481	1611
230	483	1608
231	484	1604
232	486	1600
233	487	1595
234	488	1589
235	489	1583
236	490	1578
237	491	1573
238	492	1568
239	493	1564
240	495	1561
241	497	1558
242	498	1553
243	499	1547
244	500	1542
245	502	1538
246	503	1533
247	503	1528
248	504	1522
249	505	1517
250	506	1512
251	507	1506
252	508	1501
253	510	1498
254	511	1495
255	513	1491
256	514	1487
257	515	1483
258	516	1478
259	517	1474
260	518	1469
261	519	1464
262	521	1460
263	521	1455
264	522	1450
265	523	1445
266	524	1441
267	526	1437
268	529	1438
269	530	1435
270	532	1432
271	533	1427
272	534	1423
273	535	1419
274	537	1415
275	537	1411
276	538	1406
277	540	1402
278	541	1398
279	542	1395
280	543	1391
281	544	1387
282	545	1383
283	546	1378
284	547	1374
285	548	1370
286	549	1366
287	551	1362
288	553	1361
289	554	1357
290	555	1353
291	557	1350
292	558	1348
293	559	1344
294	560	1340
295	562	1336
296	563	1333
297	564	1329
298	565	1325
299	566	1321
300	567	1317
301	568	1313
302	569	1309
303	570	1306
304	571	1303
305	573	1300
306	575	1298
307	576	1294
308	577	1290
309	578	1286
310	579	1283
311	580	1279
312	581	1276
313	582	1272
314	583	1268
315	584	1264
316	585	1261
317	586	1258
318	588	1255
319	589	1252
320	590	1249
321	592	1247
322	593	1244
323	594	1241
324	595	1237
325	596	1233
326	597	1230
327	598	1227
328	600	1224
329	601	1221
330	602	1218
331	604	1215
332	605	1212
333	606	1209
334	607	1206
335	608	1203
336	609	1199
337	610	1196
338	611	1193
339	612	1189
340	613	1186
341	614	1182
342	616	1180
343	617	1177
344	618	1175
345	620	1172
346	621	1168
347	622	1165
348	623	1162
349	624	1159
350	625	1156
351	626	1153
352	627	1149
353	628	1146
354	629	1143
355	630	1140
356	631	1137
357	632	1134
358	634	1133
359	636	1130
360	637	1127
361	638	1124
362	639	1121
363	640	1118
364	641	1115
365	642	1112
366	643	1109
367	644	1106
368	645	1103
369	646	1100
370	647	1097
371	648	1094
372	649	1091
373	650	1089
374	651	1086
375	652	1083
376	653	1080
377	654	1077
378	655	1074
379	656	1070
380	657	1067
381	658	1064
382	658	1061
383	659	1058
384	660	1055
385	661	1052
386	662	1049
387	664	1047
388	665	1045
389	666	1042
390	667	1040
391	668	1037
392	669	1034
393	670	1031
394	671	1028
395	672	1026
396	673	1023
397	674	1020
398	675	1018
399	677	1015
400	678	1012
401	679	1010
402	680	1007
403	681	1005
404	682	1002
405	683	999
406	684	997
407	685	994
408	686	991
409	687	988
410	688	986
411	689	983
412	690	980
413	691	978
414	692	976
415	693	974
416	695	971
417	696	969
418	697	967
419	698	964
420	699	962
421	700	959
422	701	957
423	702	954
424	703	952
425	704	949
426	706	947
427	707	944
428	708	942
429	709	940
430	710	938
431	711	935
432	712	933
433	713	930
434	714	928
435	715	925
436	716	923
437	717	921
438	718	918
439	719	916
440	720	913
441	721	911
442	722	908
443	723	906
444	724	903
445	725	901
446	727	899
447	728	897
448	729	894
449	729	892
450	730	889
451	732	887
452	732	885
453	734	882
454	735	880
455	735	877
456	736	875
457	737	873
458	739	871
459	740	869
460	741	867
461	742	864
462	743	862
463	744	860
464	745	858
465	746	855
466	747	853
467	748	851
468	749	849
469	750	846
470	751	844
471	752	842
472	753	840
473	754	837
474	756	835
475	757	834
476	758	831
477	760	830
478	761	827
479	762	825
480	763	823
481	764	821
482	765	819
483	766	817
484	767	815
485	769	813
486	770	811
487	771	809
488	773	807
489	774	805
490	775	803
491	776	801
492	777	799
493	778	797
494	779	795
495	780	793
496	781	790
497	782	788
498	783	786
499	784	784
500	785	782
501	787	781
502	788	779
503	789	777
504	790	775
505	791	773
506	792	771
507	794	769
508	795	767
509	796	765
510	797	762
511	798	760
512	799	758
513	800	757
514	801	754
515	802	753
516	804	751
517	805	749
518	806	747
519	807	745
520	808	743
521	809	740
522	810	738
523	811	736
524	812	734
525	813	732
526	814	730
527	815	728
528	816	726
529	817	725
530	819	723
531	820	721
532	821	719
533	822	717
534	823	715
535	824	713
536	825	711
537	826	709
538	827	707
539	828	705
540	829	703
541	830	701
542	832	700
543	833	698
544	834	696
545	835	695
546	836	693
547	838	691
548	839	689
549	840	687
550	841	685
551	842	683
552	843	681
553	844	679
554	845	677
555	846	675
556	847	674
557	848	672
558	850	670
559	851	669
560	852	667
561	854	665
562	855	663
563	856	661
564	857	660
565	858	658
566	859	656
567	860	654
568	861	652
569	862	650
570	864	649
571	865	647
572	866	645
573	867	643
574	868	642
575	869	640
576	870	638
577	871	636
578	872	634
579	873	632
580	874	630
581	875	629
582	876	627
583	878	625
584	879	623
585	880	622
586	881	620
587	882	618
588	883	616
589	884	614
590	885	613
591	886	611
592	887	609
593	888	607
594	889	605
595	890	603
596	891	601
597	892	600
598	894	598
599	896	597
600	897	595
601	898	593
602	899	592
603	900	590
604	901	588
605	902	586
606	903	584
607	904	583
608	905	581
609	906	579
610	907	577
611	908	576
612	910	574
613	911	573
614	913	571
615	914	570
616	916	568
617	917	567
618	918	565
619	919	563
620	920	561
621	921	560
622	922	558
623	924	556
624	925	555
625	927	553
626	929	552
627	930	551
628	931	549
629	932	547
630	933	546
631	934	544
632	935	542
633	936	540
634	938	539
635	939	537
636	941	536
637	942	534
638	943	533
639	944	531
640	946	529
641	947	528
642	948	526
643	949	524
644	950	523
645	951	521
646	952	519
647	954	518
648	955	517
649	957	515
650	959	514
651	960	512
652	961	510
653	962	509
654	964	508
655	965	506
656	967	504
657	968	503
658	969	501
659	971	500
660	972	498
661	973	497
662	974	495
663	976	493
664	977	492
665	978	490
666	979	489
667	980	487
668	981	485
669	983	484
670	984	482
671	985	481
672	987	479
673	989	478
674	990	477
675	991	475
676	993	473
677	994	472
678	995	470
679	997	469
680	998	467
681	1000	466
682	1001	464
683	1002	463
684	1003	461
685	1004	459
686	1005	458
687	1007	456
688	1008	455
689	1010	453
690	1011	452
691	1013	451
692	1014	449
693	1016	448
694	1017	446
695	1018	444
696	1020	443
697	1021	441
698	1022	440
699	1023	438
700	1024	436
701	1025	435
702	1027	433
703	1028	432
704	1029	430
705	1030	429
706	1031	427
707	1032	425
708	1033	424
709	1034	422
710	1035	420
711	1036	419
712	1037	417
713	1038	416
714	1040	414
715	1041	413
716	1042	411
717	1044	410
718	1045	408
719	1046	407
720	1048	405
721	1049	404
722	1050	402
723	1051	400
724	1052	399
725	1053	397
726	1055	396
727	1056	394
728	1057	393
729	1059	391
730	1060	390
